age,A122,A123,BMI,A104
20,175,58,18.93877551,1
20,172,50,16.90102758,1
21,167,60,21.51385851,1
21,150,45,20,1
21,166,58,21.04804761,2
22,165,50,18.36547291,2
22,184,76,22.44801512,1
22,171,66,22.5710475,1
22,168,55,19.48696145,2
23,160,50,19.53125,1
23,168,58,20.54988662,2
23,160,53,20.703125,2
23,178,55,17.35891933,1
23,161,53,20.44674202,2
23,165,51,18.73278237,2
24,150,45,20,2
24,150,50,22.22222222,2
24,175,65,21.2244898,1
24,170,62,21.4532872,2
25,168,50,17.7154195,2
25,178,70,22.09317005,1
25,160,60,23.4375,2
25,156,103,42.32412886,2
25,178,90,28.40550436,1
25,162,46,17.52781588,2
25,162,50,19.05197378,2
26,180,66,20.37037037,1
26,168,56,19.84126984,2
26,170,60,20.76124567,1
26,158,52,20.82999519,2
26,165,49,17.99816345,2
26,165,65,23.87511478,1
27,176,80,25.82644628,1
27,178,68,21.46193662,1
27,175,70,22.85714286,1
27,165,55,20.2020202,2
27,170,70,24.22145329,1
28,176,85,27.44059917,1
28,169,60,21.0076678,2
28,165,49,17.99816345,2
28,178,70,22.09317005,1
28,182,52,15.69858713,1
28,166,58,21.04804761,2
28,175,71,23.18367347,1
29,175,75,24.48979592,1
29,158,45,18.02595738,2
29,172,60,20.2812331,1
29,170,65,22.49134948,1
29,155,44,18.31425598,2
29,160,94,36.71875,2
30,165,60,22.03856749,2
30,180,65,20.0617284,1
30,155,55,22.89281998,2
30,170,62,21.4532872,1
30,161,54,20.83252961,2
30,168,61,21.61281179,2
30,160,65,25.390625,1
30,175,67,21.87755102,1
30,170,60,20.76124567,1
30,165,50,18.36547291,2
30,160,65,25.390625,2
31,175,75,24.48979592,1
31,170,65,22.49134948,1
31,165,60,22.03856749,2
31,163,60,22.58270917,2
31,168,65,23.03004535,1
31,165,68,24.97704316,2
31,175,68,22.20408163,1
31,155,57,23.72528616,2
31,158,61,24.43518667,2
31,168,70,24.8015873,1
31,160,50,19.53125,2
31,162,65,24.76756592,2
31,158,52,20.82999519,2
32,177,75,23.93948099,1
32,167,60,21.51385851,2
32,182,72,21.73650525,1
32,180,65,20.0617284,1
32,173,85,28.40054796,1
32,170,69,23.87543253,2
32,158,50,20.02884153,2
32,175,65,21.2244898,1
32,157,43,17.44492677,2
32,175,90,29.3877551,1
32,160,53,20.703125,2
33,165,67,24.6097337,2
33,175,70,22.85714286,1
33,165,57,20.93663912,2
33,178,65,20.51508648,1
33,160,55,21.484375,2
33,172,64,21.63331531,1
33,155,44,18.31425598,2
33,175,72,23.51020408,1
33,156,45,18.49112426,2
33,163,58,21.8299522,2
33,160,57,22.265625,2
33,160,55,21.484375,1
33,172,70,23.66143862,2
34,158,66,26.43807082,2
34,167,70,25.0995016,1
34,168,78,27.63605442,1
34,160,60,23.4375,2
34,176,65,20.9839876,1
35,165,65,23.87511478,2
35,170,75,25.95155709,1
35,155,55,22.89281998,2
35,166,67,24.31412397,2
35,158,54,21.63114885,2
35,160,60,23.4375,2
35,175,75,24.48979592,1
35,150,50,22.22222222,2
35,172,63,21.29529475,1
36,162,59,22.48132907,2
36,174,65,21.46915048,1
36,165,48,17.63085399,2
36,174,80,26.42356982,2
36,157,52,21.09619051,2
37,160,57,22.265625,2
37,165,55,20.2020202,2
37,170,60,20.76124567,1
37,162,62,23.62444749,2
37,170,76,26.29757785,1
37,174,60,19.81767737,1
37,155,52,21.64412071,2
37,175,65,21.2244898,1
37,165,59,21.67125803,2
37,171,85,29.0687733,1
37,155,67,27.88761707,2
37,163,65,24.4646016,2
37,183,75,22.39541342,1
38,173,80,26.7299275,1
38,165,63,23.14049587,2
38,168,65,23.03004535,1
38,168,65,23.03004535,1
38,170,80,27.6816609,1
38,173,68,22.72043837,1
38,155,54,22.47658689,2
39,165,55,20.2020202,2
39,165,65,23.87511478,2
39,170,85,29.41176471,1
39,165,50,18.36547291,2
39,168,70,24.8015873,1
39,168,83,29.40759637,1
40,178,80,25.2493372,1
40,168,72,25.51020408,1
40,178,85,26.82742078,1
40,160,68,26.5625,1
40,170,75,25.95155709,1
40,158,55,22.03172568,2
40,165,65,23.87511478,2
41,172,85,28.73174689,1
41,160,50,19.53125,2
41,175,76,24.81632653,1
41,171,75,25.64891762,1
41,165,55,20.2020202,2
41,160,60,23.4375,2
41,172,75,25.35154137,1
41,168,65,23.03004535,1
41,170,65,22.49134948,1
41,170,65,22.49134948,1
42,178,90,28.40550436,1
42,165,70,25.71166208,1
42,175,65,21.2244898,1
42,174,68,22.46003435,1
42,165,50,18.36547291,2
42,165,70,25.71166208,1
42,165,60,22.03856749,2
42,162,51,19.43301326,2
43,155,55,22.89281998,2
43,158,69,27.63980131,2
43,172,61,20.61925365,1
43,165,55,20.2020202,2
43,158,50,20.02884153,2
43,168,55,19.48696145,1
44,168,75,26.57312925,1
44,178,70,22.09317005,1
44,168,56,19.84126984,2
44,163,68,25.59373706,2
44,165,65,23.87511478,2
44,178,65,20.51508648,1
44,161,60,23.14725512,2
45,160,60,23.4375,2
45,155,50,20.81165453,2
45,169,55,19.25702882,2
45,180,87,26.85185185,1
45,180,89,27.4691358,1
45,169,83,29.06060712,1
45,158,53,21.23057202,2
46,160,55,21.484375,2
46,170,70,24.22145329,1
46,163,50,18.81892431,1
46,166,55,19.95935549,2
46,165,77,28.28282828,1
46,160,65,25.390625,2
46,162,60,22.86236854,2
46,175,68,22.20408163,1
46,170,80,27.6816609,1
46,170,60,20.76124567,2
46,165,72,26.44628099,1
46,168,62,21.96712018,2
46,180,80,24.69135802,1
46,165,75,27.54820937,2
46,180,85,26.2345679,1
46,158,60,24.03460984,2
46,172,71,23.99945917,1
46,161,62,23.91883029,2
47,173,65,21.71806609,1
47,175,60,19.59183673,1
47,168,60,21.2585034,2
47,165,65,23.87511478,2
47,176,80,25.82644628,1
47,165,55,20.2020202,2
48,162,57,21.71925011,2
48,156,60,24.65483235,2
48,166,61,22.13673973,1
48,168,58,20.54988662,1
